UF,CE
Cidade,SANTA QUITERIA
Nome Posto,SANTA QUITERIA
Latitude,-4.333333333333333
Longitude,-40.15
Codigo,440077
Qtd. Anos,47
Ano,Maxima
1974,83
1975,91
1976,150.3
1977,101
1978,120
1979,73.2
1980,56.2
1981,29.4
1982,56.1
1983,39
1984,59.2
1985,130
1986,113.4
1987,75
1988,63
1989,117
1990,50.2
1991,76.1
1992,109
1993,88
1994,70.5
1995,122
1996,74
1997,74
1998,79.5
1999,57
2000,80
2001,81
2002,74.1
2003,60.8
2004,119.2
2005,51
2006,62
2007,96
2008,110
2009,70
2010,43.1
2011,91
2012,35
2013,58.2
2014,45
2015,35.5
2016,52.8
2017,70.1
2018,112.5
2019,100
2020,73.2
