UF,CE
Cidade,FARIAS BRITO
Nome Posto,FARIAS BRITO
Latitude,-6.916666666666667
Longitude,-39.56666666666667
Codigo,639029
Qtd. Anos,107
Ano,Maxima
1913,70.5
1914,62
1915,64.5
1916,65.4
1917,79.1
1918,65.8
1919,58
1920,79
1921,49.6
1922,65.3
1923,69
1924,73.2
1925,65.6
1926,65.5
1927,63.2
1928,66.9
1929,68.7
1930,71.1
1931,68
1932,68.5
1933,70.5
1934,68.9
1935,69
1936,66.5
1937,64.5
1938,85
1939,75
1940,74
1941,69.5
1942,82.2
1943,102.1
1944,70.4
1946,100
1947,92.3
1948,56.3
1949,70.8
1950,62.8
1951,71.2
1952,77
1953,66
1954,90.5
1955,94
1956,62
1957,92.5
1958,50
1959,80
1960,25
1961,15
1962,88
1963,75
1964,90
1965,75
1966,83.3
1967,61.3
1968,106.2
1969,115.2
1970,85.2
1971,63.2
1972,65.6
1973,106.5
1974,100
1975,75
1976,50.8
1977,61.4
1978,119.2
1979,76
1980,126
1981,95
1982,75
1983,60
1984,83
1985,135
1986,105.2
1987,118.2
1988,63
1989,100
1990,59
1991,58.8
1992,70
1993,98
1994,55.8
1995,83.4
1996,89
1997,128
1998,85.8
1999,89.4
2000,61
2001,90
2002,58.4
2003,124
2004,101.4
2005,111.4
2006,92.6
2007,103
2008,103.4
2009,67
2010,80
2011,83
2012,75
2013,66
2014,110
2015,49
2016,42.4
2017,57
2018,178
2019,89
2020,83
