UF,CE
Cidade,JATI
Nome Posto,JATI
Latitude,-7.683333333333334
Longitude,-39.016666666666666
Codigo,739013
Qtd. Anos,81
Ano,Maxima
1934,56
1935,46
1936,55
1937,86
1938,63
1939,49
1940,51.4
1941,47.6
1942,52
1943,55.3
1944,81
1945,61
1946,62
1947,56
1948,52
1949,52
1950,49
1951,38
1952,54
1953,58
1954,67
1955,55
1956,64
1957,68
1958,64
1959,44
1960,67
1961,40
1962,52
1963,100
1964,72
1965,73.4
1966,69.6
1967,47.2
1968,91.4
1969,47.4
1970,55.4
1971,75.6
1972,90.6
1973,50
1974,51.8
1975,60.4
1976,78.8
1977,60
1978,36.2
1979,133
1980,105
1981,103
1982,122.5
1983,92
1984,47
1985,55.4
1986,57
1987,72
1988,131
1989,81
1990,36
1991,55
1992,71
1993,36.8
1994,69.4
1995,114
1996,128
1997,75
1998,80.3
1999,81
2000,50.4
2001,81
2002,81
2003,52
2004,102
2005,92
2006,60
2007,145
2008,51
2009,74
2010,90
2011,75
2012,58
2013,110
2014,76
