UF,CE
Cidade,ARATUBA
Nome Posto,ARATUBA
Latitude,-4.416666666666667
Longitude,-39.05
Codigo,439018
Qtd. Anos,86
Ano,Maxima
1935,85.1
1936,79.6
1937,86.2
1938,85.2
1939,75.8
1940,82.2
1941,110.2
1942,44.1
1943,79
1944,62.3
1945,94
1946,94.5
1947,76.8
1948,65.2
1949,74
1950,122.5
1951,68.6
1952,83.3
1953,63.5
1954,50.6
1955,173.2
1956,74.2
1957,96.5
1958,172.6
1959,153.1
1960,97.3
1961,80.5
1962,76.3
1963,80.6
1964,140.5
1965,86.4
1966,102.3
1967,130
1968,100.4
1969,120.2
1970,85.2
1971,108.4
1972,72.2
1973,75.2
1974,153.6
1975,52
1976,68
1977,94
1978,56.2
1979,97
1980,70
1981,70
1982,52
1983,48
1984,85
1985,86
1986,88
1987,100
1988,70
1989,112
1990,50
1991,86
1992,105
1993,45
1994,68
1995,65
1996,52.2
1997,35.6
1998,77
1999,45.5
2000,103
2001,57.6
2002,88.3
2003,62
2004,95
2005,100.3
2006,75
2007,63
2008,82
2009,70
2010,66
2011,70
2012,102
2013,55
2014,69
2015,81
2016,86
2017,65.5
2018,68.2
2019,63
2020,52
