UF,CE
Cidade,GENERAL SAMPAIO
Nome Posto,GENERAL SAMPAIO
Latitude,-4.05
Longitude,-39.45
Codigo,439031
Qtd. Anos,41
Ano,Maxima
1980,10
1981,48.8
1982,51.2
1983,41.6
1984,107.6
1985,84.4
1986,76.2
1987,74.4
1988,123.6
1989,53.8
1990,44.5
1991,69.9
1992,55
1993,32
1994,59.1
1995,58.2
1996,90.8
1997,79
1998,34.2
1999,64.8
2000,52.6
2001,86.2
2002,63.6
2003,61.2
2004,128.2
2005,74.8
2006,60
2007,41
2008,48.6
2009,84.6
2010,39
2011,50.2
2012,40.6
2013,57
2014,49.2
2015,75
2016,97.3
2017,105
2018,82
2019,66.2
2020,42
