UF,CE
Cidade,IGUATU
Nome Posto,AEROPORTO(IGUATU)
Latitude,-6.383333333333334
Longitude,-39.3
Codigo,639001
Qtd. Anos,52
Ano,Maxima
1961,105.6
1962,62.6
1963,68.2
1964,153.6
1965,108.8
1966,145.6
1967,91.3
1968,63
1969,103.8
1970,148
1974,114
1975,94
1976,126
1977,99
1978,122
1979,62
1980,174
1981,120
1982,59
1983,62
1984,100
1985,102
1986,68
1987,117
1988,36
1989,72
1990,109
1991,28
1992,58.4
1993,108
1994,66
1995,56
1996,71
1997,141
1998,84
1999,108
2000,106
2001,56
2002,80
2003,100
2004,95
2005,104
2006,101
2007,75
2008,85
2009,82.3
2010,83
2011,93
2013,55
2014,100
2015,48.6
2018,64
