UF,CE
Cidade,TAUA
Nome Posto,ACUDE VARZEA DO BOI
Latitude,-5.91
Longitude,-40.25
Codigo,540015
Qtd. Anos,56
Ano,Maxima
1955,30
1956,55
1957,66
1958,62
1959,38
1960,56
1961,76
1962,82
1963,63
1964,42
1965,57.2
1966,66.9
1967,99
1968,44.2
1969,74.6
1970,32.4
1971,42.2
1972,65.2
1973,47
1974,62
1975,55.2
1976,50
1977,74
1978,36
1979,28
1980,76
1981,124.9
1982,34.6
1983,46.3
1984,113.7
1985,80.2
1986,61.5
1987,58.3
1988,44
1989,136.7
1991,52
1999,57
2000,45
2001,68
2002,81
2003,97.7
2004,58
2005,90.8
2006,70.8
2007,73
2009,23.2
2011,72
2012,71
2013,80
2014,48
2015,46.2
2016,66.2
2017,52
2018,51.8
2019,54
2020,60
