UF,CE
Cidade,QUIXADA
Nome Posto,DOM MAURICIO
Latitude,-4.92
Longitude,-39.15
Codigo,439036
Qtd. Anos,90
Ano,Maxima
1913,70.1
1914,64.4
1915,62
1916,65.6
1917,63
1918,57.8
1919,66.5
1920,56.3
1921,65.7
1922,70.1
1923,62.1
1924,85.5
1925,75
1926,68.7
1928,50
1929,62
1930,66
1931,59.1
1932,60
1933,58.8
1934,105
1935,60.4
1936,81.4
1937,40
1938,80
1939,64
1940,60
1941,65
1942,80
1943,48.2
1944,50
1945,60
1946,150
1947,84.5
1948,40
1949,37
1950,85.3
1951,70
1952,37.7
1953,41
1954,50
1955,68
1956,77
1957,46
1958,20
1959,100
1960,110
1961,110
1962,65
1963,90
1964,60.2
1965,79
1966,115.6
1967,115.2
1968,81.3
1969,116.6
1970,55.4
1971,52.6
1972,92.4
1973,110.2
1974,92.8
1975,38.8
1976,65.2
1977,52.2
1978,51.7
1979,48.2
1980,58.1
1981,26.2
1982,49.6
1983,48
1984,62
1985,75
1986,74.3
1987,67
1988,23.8
1989,37
1990,45.9
1991,48.7
1998,62
1999,72
2000,22
2011,37
2012,35.5
2013,65.5
2014,86.2
2015,43.4
2016,42
2018,93
2019,72.4
2020,81.2
