UF,CE
Cidade,IPU
Nome Posto,ACUDE BONITO
Latitude,-4.35
Longitude,-40.6
Codigo,440032
Qtd. Anos,70
Ano,Maxima
1912,97
1913,58
1914,85
1915,67
1916,67.4
1917,65
1918,57.2
1919,36
1920,77
1921,64.2
1922,85.5
1923,62.5
1924,84.8
1925,65.5
1926,74.5
1927,44
1928,56.8
1929,64
1930,64.3
1931,54.3
1932,70.7
1933,99.8
1934,62
1935,68
1936,81
1937,61
1938,65.5
1939,67.5
1940,77.6
1941,52.2
1942,55.5
1948,55.5
1949,80.4
1950,104.3
1951,52.2
1952,78.6
1953,68
1954,56.2
1955,128.2
1956,95.8
1957,92.4
1958,2.8
1959,76.6
1960,36
1961,40
1962,117.2
1963,100.1
1964,82.3
1965,125.3
1966,33.6
1967,77.2
1968,118
1969,64
1970,75.4
1971,83
1972,43
1973,134.2
1974,86.4
1975,100
1976,50
1977,95
1978,104
1979,51
1980,89
1981,67.3
1982,77
1983,18.4
1984,55.3
1985,83.3
1986,80.4
