UF,CE
Cidade,PACATUBA
Nome Posto,PACATUBA
Latitude,-3.9833333333333334
Longitude,-38.61666666666667
Codigo,338002
Qtd. Anos,79
Ano,Maxima
1912,62.5
1913,65
1914,63.3
1915,58.2
1916,72.5
1917,90.5
1918,72
1919,56.2
1920,80
1921,73.1
1922,62.5
1923,61.5
1924,99
1925,63.1
1926,63.6
1927,80.1
1928,67.5
1929,97
1930,49
1932,52.3
1962,121.2
1963,116
1964,111
1965,82.2
1966,59.2
1967,75.6
1968,82.4
1969,50.6
1970,61.1
1971,90.4
1972,57.4
1973,104.2
1974,122.2
1975,80
1976,96.1
1977,87.5
1978,91.4
1979,73.3
1980,107.3
1981,71.2
1982,60
1983,77.8
1984,88.5
1985,97
1986,95
1987,125.2
1988,103
1989,75
1990,69.4
1991,90.4
1992,77.4
1993,52.8
1994,96
1995,76
1996,95.2
1997,69
1998,86
1999,88
2000,89
2001,131
2002,97.2
2003,75
2004,88
2005,63
2006,67
2007,61
2008,66
2009,70
2010,51
2011,75
2012,65
2013,69
2014,75
2015,146
2016,56
2017,20
2018,77.5
2019,76
2020,88
