UF,CE
Cidade,ITATIRA
Nome Posto,ITATIRA
Latitude,-4.533333333333333
Longitude,-39.61666666666667
Codigo,439030
Qtd. Anos,98
Ano,Maxima
1912,3.5
1913,67.3
1914,45.2
1915,30
1916,45.5
1917,69
1918,54.6
1919,69.7
1920,65.9
1921,74.3
1922,63.2
1923,27.5
1924,65.5
1925,75.5
1926,60.3
1927,67.3
1928,83.4
1929,39.5
1930,25.4
1937,59.6
1938,68
1939,68.9
1940,76.5
1941,74.3
1942,60.5
1943,50.2
1944,47.5
1945,46.7
1948,46.5
1949,54.3
1950,80.7
1951,86.3
1952,95.6
1953,106.4
1954,120.4
1955,83
1956,165.5
1959,107.5
1960,72.3
1962,62.4
1963,60.4
1964,59.8
1965,96
1966,19
1967,52.7
1968,60.3
1969,44.3
1970,58.9
1971,49.5
1972,39.2
1973,55.4
1974,176
1975,67
1976,50
1977,70
1978,191
1979,51
1980,43
1981,62
1982,44.1
1983,33
1984,69.4
1985,56.6
1986,60.9
1987,41.3
1988,121
1989,51
1990,48
1991,48
1992,39
1993,23
1994,61.5
1995,39
1996,61
1997,65
1998,34
1999,53
2000,42
2001,114
2002,54
2003,51
2004,65
2005,65.2
2006,45
2007,69
2008,69.9
2009,68.3
2010,47
2011,63.2
2012,56
2013,62
2014,40
2015,42.2
2016,56
2017,95
2018,85
2019,45
2020,35
