UF,CE
Cidade,GRACA
Nome Posto,GRACA
Latitude,-4.05
Longitude,-40.75
Codigo,440022
Qtd. Anos,88
Ano,Maxima
1933,21.8
1934,105.6
1935,129
1936,75.6
1937,100.5
1938,70.7
1939,112.4
1940,98.3
1941,96.5
1942,95.3
1943,86.3
1944,80
1945,77.3
1946,89.8
1947,80.3
1948,88.6
1949,87
1950,80.5
1951,90.2
1952,108.8
1953,76.6
1954,135.4
1955,133.8
1956,96.4
1957,96.2
1958,61
1959,114.5
1960,112.4
1961,100.4
1962,89.3
1963,104.4
1964,83.6
1965,182
1966,65.3
1967,100
1968,173
1969,94.2
1970,88.2
1971,68.5
1972,158.1
1973,98.6
1974,71.4
1975,107.6
1976,80.1
1977,90.4
1978,94.2
1979,62.2
1980,59.6
1981,70.1
1982,52.2
1983,65.4
1984,87.5
1985,80.6
1986,102.3
1987,75
1988,100
1989,74
1990,60
1991,54
1992,107
1993,62
1994,62
1995,75
1996,112
1997,63.5
1998,107
1999,65
2000,93
2001,73
2002,73
2003,84
2004,113
2005,65
2006,51
2007,105
2008,122
2009,116
2010,215
2011,122
2012,65
2013,132
2014,57
2015,87
2016,75
2017,60
2018,75
2019,78
2020,116
