UF,CE
Cidade,ACARAPE
Nome Posto,ACARAPE
Latitude,-4.216666666666667
Longitude,-38.7
Codigo,438051
Qtd. Anos,108
Ano,Maxima
1912,70
1913,88.5
1914,59.2
1915,58.3
1916,61.3
1917,73.6
1918,69.8
1919,26.6
1920,77.5
1921,64.6
1922,59.2
1923,62.3
1924,95.2
1925,66
1926,65.7
1927,64.7
1928,58.2
1929,61.6
1930,63.5
1931,51
1932,54
1933,38.3
1934,52.2
1935,86
1936,56
1937,61.8
1938,76.1
1939,74.2
1940,59.2
1941,61.2
1942,78.2
1943,71.2
1944,43.6
1945,114.5
1946,76.2
1948,32.8
1949,92.5
1950,55.1
1951,74.5
1952,78.4
1953,54.4
1954,55.2
1955,57
1956,84.2
1957,51.2
1958,32.5
1959,61
1960,53.4
1961,52.4
1962,70.2
1963,60.1
1964,63.4
1965,49.2
1966,47.2
1967,51.4
1968,58
1969,79.2
1970,62.3
1971,67
1972,50
1973,81
1974,77.1
1975,60.7
1976,84.1
1977,62.4
1978,82.5
1979,91.6
1980,127.2
1981,64.2
1982,43
1983,65.1
1984,62
1985,110.3
1986,56
1987,67
1988,120
1989,74
1990,49
1991,82
1992,71
1993,50
1994,105.6
1995,109.2
1996,112
1997,66.2
1998,53
1999,45
2000,100
2001,90
2002,56
2003,100
2004,66
2005,75
2006,51
2007,61
2008,110
2009,79
2010,79
2011,150
2012,115
2013,63.5
2014,75
2015,59
2016,34
2017,88
2018,55
2019,40
2020,65
