UF,CE
Cidade,SOBRAL
Nome Posto,SOBRAL
Latitude,-3.7
Longitude,-40.35
Codigo,340045
Qtd. Anos,103
Ano,Maxima
1912,54.4
1913,51
1914,50.3
1915,40.3
1916,38.3
1917,88
1918,45.2
1919,25
1920,51.2
1921,79.2
1922,65
1923,60.3
1924,48.1
1925,69.2
1926,80
1927,68.6
1928,58.6
1929,59.3
1930,61.5
1931,40
1932,47.4
1933,60.2
1934,66.5
1935,52.2
1936,26.3
1937,107.7
1938,61.5
1939,71.6
1940,88.4
1941,62.5
1942,88.6
1943,30.4
1944,54.4
1946,44
1947,51.8
1948,110.2
1949,62.6
1950,130.8
1951,50.2
1952,60.2
1953,63.1
1954,42
1955,46.1
1956,45
1957,64
1958,33
1959,27
1960,82
1961,46
1962,50
1963,69
1964,38.5
1965,113.5
1966,27.4
1967,71.3
1968,54.4
1969,38
1974,100
1975,65
1976,56
1977,50
1978,84
1979,65
1980,45
1981,72
1982,57
1983,41
1984,70
1985,85
1986,95
1987,103
1988,81
1989,63
1990,71
1991,55
1992,76
1993,36
1994,135
1995,70
1996,83
1997,41
1998,57.5
1999,69
2000,71
2001,86
2002,54
2003,141
2004,71
2005,42
2006,75
2007,70
2008,81
2009,85
2010,68
2011,39
2012,40
2013,72
2014,56
2015,60
2016,39
2017,100
2018,70
2019,72
