UF,CE
Cidade,PARAMOTI
Nome Posto,SALVACAO
Latitude,-4.25
Longitude,-39.483333333333334
Codigo,439005
Qtd. Anos,49
Ano,Maxima
1935,74.1
1936,44.6
1937,110.5
1938,90
1939,107
1940,54
1941,43.4
1942,62.6
1943,44.8
1944,113.2
1945,55.2
1946,51.8
1947,27.2
1948,46.4
1949,75.3
1950,34.6
1951,50
1952,51
1953,48
1954,47
1955,58
1956,52
1957,65
1958,57
1959,67
1962,109
1963,85.8
1964,54.2
1965,92
1966,64
1967,73
1968,47
1969,46
1970,65.8
1971,48
1972,41
1973,55.6
1974,145
1975,45.4
1976,42
1977,55.5
1978,75.7
1979,61
1980,68
1981,72
1982,37.5
1983,31
1984,72
1985,128
