UF,CE
Cidade,PEREIRO
Nome Posto,PEREIRO
Latitude,-6.05
Longitude,-38.46666666666667
Codigo,638011
Qtd. Anos,111
Ano,Maxima
1910,65.2
1911,65.7
1912,66
1913,65
1914,66
1915,40
1916,104
1917,64.5
1918,97
1919,73
1920,100
1921,72
1922,77.5
1923,101
1924,70
1925,72
1926,75.5
1927,70
1928,143.5
1929,90
1930,85
1931,80
1932,80
1933,90
1934,105
1935,80
1936,100
1937,80
1938,60
1939,90
1940,93
1941,65
1942,104
1943,120
1944,95
1945,96
1946,85
1947,63
1948,70
1949,70
1950,86
1951,91
1952,122
1953,98
1954,52
1955,98
1956,93.5
1957,81
1958,146
1959,102
1960,105
1961,94
1962,56
1963,64.6
1964,115
1965,62
1966,86.5
1967,118.3
1968,78
1969,64
1970,95
1971,65
1972,98
1973,119
1974,134
1975,100
1976,88
1977,64
1978,98
1979,68
1980,62
1981,113
1982,173
1983,144
1984,82
1985,80
1986,85.5
1987,107
1988,65
1989,55
1990,120
1991,57
1992,89
1993,47.3
1994,58.5
1995,77
1996,64.7
1997,103
1998,74.3
1999,49
2000,92
2001,110
2002,106
2003,62
2004,71
2005,59
2006,84.2
2007,82
2008,142
2009,156
2010,73
2011,71.2
2012,109
2013,106
2014,92.8
2015,80
2016,89.2
2017,66.4
2018,79
2019,62
2020,79
