UF,CE
Cidade,SABOEIRO
Nome Posto,SABOEIRO
Latitude,-6.533333333333333
Longitude,-39.9
Codigo,639033
Qtd. Anos,106
Ano,Maxima
1912,66.2
1913,72
1914,55.1
1915,74.3
1916,90
1917,124
1918,50.4
1919,68.2
1920,95.5
1921,84.3
1922,57.1
1923,68.3
1924,4.8
1925,3
1926,64.2
1927,64.1
1928,57.1
1929,63.2
1930,64.3
1931,69.2
1932,58.2
1933,65.7
1934,68.2
1935,92.7
1936,66.9
1937,47.8
1938,55.8
1939,79.9
1940,58.8
1941,68.8
1942,59.5
1943,51
1944,82.5
1946,62
1947,64.1
1948,93.8
1949,66.4
1950,52.5
1951,55.8
1952,67.8
1953,99.2
1954,43.9
1955,49.6
1956,55.6
1957,57.8
1958,68.4
1959,69
1960,75.5
1961,65.5
1962,55.6
1963,98.5
1964,63
1965,64.5
1966,45.5
1967,52.5
1968,68.5
1969,99.6
1970,78.5
1971,51
1972,71.2
1974,81.7
1975,67.1
1976,45.7
1977,55
1978,80
1979,176
1980,72.1
1981,42.6
1982,83
1983,55
1984,180.2
1985,88.6
1986,50.8
1987,60
1988,57
1989,47
1990,36
1991,48.4
1992,65
1993,84
1994,65
1995,49.2
1996,40
1997,51
1998,66
1999,50
2000,62
2001,49.4
2002,56
2003,104
2004,130
2005,40.5
2006,60
2007,62
2008,140
2009,70
2010,114
2011,68
2012,45
2013,48
2014,41.6
2015,80
2016,125
2018,50
2019,87
2020,98.6
