UF,CE
Cidade,AIUABA
Nome Posto,FAZENDA NOVA
Latitude,-6.5
Longitude,-40.36666666666667
Codigo,640012
Qtd. Anos,48
Ano,Maxima
1961,38.6
1962,50.9
1963,96
1964,50.3
1965,50
1966,52
1967,50
1968,33
1969,98
1970,56
1971,52
1972,76.4
1973,67.3
1974,84.3
1975,69.2
1976,115.3
1977,49
1978,65.2
1979,80
1980,121
1981,79
1982,70
1983,133.2
1984,48
1985,99.8
1986,71
1987,71
2000,51
2001,33.2
2002,60.8
2003,133
2004,111
2005,57.6
2006,43.3
2007,76.8
2008,99.2
2009,62.5
2010,114
2011,39.8
2012,52
2013,45.8
2014,39.4
2015,56.6
2016,74.6
2017,68
2018,114.2
2019,70
2020,29.8
