UF,CE
Cidade,CRATO
Nome Posto,CRATO
Latitude,-7.233333333333333
Longitude,-39.4
Codigo,739006
Qtd. Anos,109
Ano,Maxima
1912,131
1913,66.5
1914,31.5
1915,67.7
1916,67
1917,64.5
1918,78.9
1919,67
1920,95.5
1921,75.3
1922,88.2
1923,72.2
1924,86
1925,72.4
1926,66
1927,110.4
1928,65.2
1929,39
1930,61.2
1931,90.3
1932,78.4
1933,75
1934,79
1935,76
1936,89.8
1937,132.6
1938,89
1939,104.2
1940,113.5
1941,128.5
1942,75
1943,90
1944,73
1945,67
1946,85.1
1947,92.2
1948,111.5
1949,104.1
1950,116.5
1951,67.2
1952,67.2
1953,64
1954,69.5
1955,70.5
1956,70
1957,4
1958,103
1959,78.5
1960,68
1961,43.5
1962,84
1963,81.5
1964,83
1965,105
1966,75.5
1967,97
1968,60
1969,89
1970,111.2
1971,59
1972,136.1
1973,155
1974,137
1975,84
1976,127
1977,139
1978,82.2
1979,125.1
1980,140
1981,91
1982,127
1983,85
1984,73
1985,100
1986,98
1987,110
1988,110
1989,55
1990,63
1991,72.3
1992,125.2
1993,55.4
1994,94.2
1995,87
1996,82.2
1997,83.6
1998,108.6
1999,83.2
2000,62
2001,66
2002,91.8
2003,120
2004,156
2005,101
2006,98
2007,110.2
2008,93.2
2009,113.2
2010,87.5
2011,162
2012,92.8
2013,75.6
2014,77
2015,140
2016,108
2017,58.2
2018,102.4
2019,99.4
2020,103
