UF,CE
Cidade,IPUEIRAS
Nome Posto,IPUEIRAS
Latitude,-4.533333333333333
Longitude,-40.71666666666667
Codigo,440014
Qtd. Anos,104
Ano,Maxima
1911,68
1912,67
1913,62.5
1914,50.5
1915,65.5
1916,67.2
1917,72.1
1918,78
1919,53.8
1920,78.6
1921,68.4
1922,48.8
1923,75.5
1924,82.3
1925,62.6
1926,69.3
1927,68.4
1928,59.2
1929,56.2
1930,50
1931,28
1932,62.6
1933,59.1
1934,76.5
1935,92
1936,65
1937,75
1938,92.2
1939,87.4
1940,65.2
1941,50
1942,62
1943,77
1944,68.4
1945,60.3
1946,65.2
1947,65.7
1948,74
1949,61.1
1950,100.6
1951,68.4
1952,73.2
1953,67
1954,61
1955,53.4
1962,70.2
1963,71.4
1964,77.5
1965,136.2
1966,39.2
1967,135.4
1968,98
1969,96.6
1970,55.2
1971,110.2
1972,49.4
1973,96.5
1974,70
1975,74
1976,54
1977,94
1978,138
1979,40
1980,85
1981,76
1982,106
1983,50
1984,72
1985,93
1986,72
1987,80
1988,105.8
1989,94
1990,98
1991,55.2
1992,61.2
1993,74
1994,52.8
1995,70.2
1996,67.7
1997,88.7
1998,63.4
1999,80
2000,157.4
2001,61.8
2002,72
2003,65
2004,81.6
2005,64
2006,48
2007,60
2008,102
2009,74
2010,82
2011,114
2012,69
2013,68
2014,59
2015,61.2
2016,70.2
2017,101
2018,90.2
2019,89.1
2020,83
