UF,CE
Cidade,VICOSA DO CEARA
Nome Posto,VICOSA DO CEARA
Latitude,-3.5641666666666665
Longitude,-41.094166666666666
Codigo,341018
Qtd. Anos,47
Ano,Maxima
1974,80
1975,76.4
1976,75
1977,80.6
1978,68.1
1979,72
1980,98
1981,108.4
1982,115
1983,66
1984,70
1985,146
1986,112
1987,69
1988,94
1989,107
1990,79
1991,58
1992,150
1993,71.5
1994,98.8
1995,70
1996,76
1997,61.6
1998,67
1999,48
2000,94
2001,112.8
2002,65.2
2003,110
2004,113
2005,107
2006,66
2007,51.4
2008,131
2009,141.8
2010,102
2011,101
2012,82.4
2013,56
2014,55.6
2015,77.4
2016,81
2017,115
2018,127.8
2019,88
2020,102.4
