UF,CE
Cidade,IGUATU
Nome Posto,SUASSURANA
Latitude,-6.7
Longitude,-39.5
Codigo,639032
Qtd. Anos,72
Ano,Maxima
1919,60
1920,82.7
1921,75
1922,56.5
1923,66.5
1924,62
1925,54.5
1926,57.5
1928,66
1929,66
1930,92.6
1931,65
1932,68.5
1933,64
1934,128
1935,63.6
1936,88.4
1937,66.8
1938,92
1939,60.3
1940,48.8
1941,60
1942,51
1943,82
1944,94.3
1946,80
1948,59.6
1949,128
1950,102.3
1951,62.4
1952,82
1953,79
1954,32
1955,34
1956,98
1957,99.6
1958,93
1959,53
1960,56
1961,83
1962,93
1963,97
1964,73.3
1965,76.8
1966,165.4
1967,59.4
1968,75
1969,73.4
1970,62.3
1971,70
1972,51.2
1973,49.3
1974,83.2
1975,110.2
1976,121.2
1977,86.2
1978,123.3
1979,104.3
1980,122.4
1981,95.3
1982,72
1983,35
1984,83.5
1985,114.2
1986,64
1987,76.2
1988,31.2
1989,130.2
1990,81.1
1998,6.7
1999,30.1
2000,6.2
