UF,CE
Cidade,TAMBORIL
Nome Posto,SUCESSO
Latitude,-4.933333333333334
Longitude,-40.53333333333333
Codigo,440020
Qtd. Anos,95
Ano,Maxima
1919,7.2
1920,67.8
1921,64
1922,65.7
1923,62.7
1924,66.4
1925,63
1926,70
1927,65.2
1928,57.8
1930,86
1931,110
1932,80
1933,44.7
1934,72
1935,56
1936,60.2
1937,78.9
1938,95.5
1939,50.5
1940,111
1941,92
1942,43
1943,72
1944,53.5
1945,125.8
1946,86.5
1947,73.4
1948,116
1949,53
1950,102.5
1951,56.5
1952,46
1953,87.5
1954,81
1955,47.5
1956,85.4
1957,68
1958,72
1959,73
1960,55
1961,79
1962,64
1963,95
1964,80.8
1965,80.4
1966,83
1967,80
1968,84.3
1969,73.8
1970,69.7
1971,86.2
1972,43.5
1973,79.9
1974,98
1975,75.2
1976,52
1977,85.3
1978,43.3
1979,46.3
1980,75.3
1981,60.3
1982,52.2
1983,28.5
1984,50.3
1985,98
1986,65.1
1987,49.3
1988,25
1989,87
1990,58
1991,45
1993,31
1994,61
1995,30.4
1998,7
1999,4.7
2000,79
2001,1.1
2002,31
2003,95
2004,96
2005,125
2006,49
2007,26
2008,114
2009,80
2010,87
2011,64
2012,50
2013,80
2014,43
2015,65
2016,70
2018,85
