UF,CE
Cidade,GRANJEIRO
Nome Posto,GRANJEIRO
Latitude,-6.883333333333333
Longitude,-39.21666666666667
Codigo,639009
Qtd. Anos,58
Ano,Maxima
1962,82
1963,90
1964,92.3
1965,82
1966,110
1967,80.2
1968,80.5
1969,60.2
1970,50.8
1971,75
1972,75
1973,85
1974,100.2
1975,125
1976,80
1977,85.2
1978,100.3
1979,60
1980,98
1981,85
1982,80
1983,68
1984,130
1985,100
1986,152
1987,112
1988,78
1989,80
1990,95.5
1991,101.5
1992,102
1993,75
1994,73.5
1995,98
1996,67
1997,105
1998,57
1999,132.4
2000,133
2001,91.2
2002,68.4
2003,122.1
2004,185
2005,75
2006,110
2007,109.1
2008,125
2009,101
2010,80.2
2011,114
2012,75
2013,90
2014,104
2015,92.2
2016,111
2017,67
2018,110
2019,7
