UF,CE
Cidade,BATURITE
Nome Posto,BATURITE
Latitude,-4.333333333333333
Longitude,-38.86666666666667
Codigo,438010
Qtd. Anos,101
Ano,Maxima
1912,66
1913,54
1914,52.5
1915,21
1916,61.2
1917,83
1918,83.9
1919,29.2
1920,54.2
1921,74.7
1922,65.5
1923,50.2
1924,73.7
1925,66
1926,65.9
1927,82.9
1928,50.4
1929,45.6
1930,50
1939,68.5
1940,77
1941,48.5
1942,86.8
1943,90.3
1944,56.5
1945,76.5
1946,118
1947,96.8
1948,81.5
1949,93.3
1950,81.2
1951,56.8
1952,56.4
1953,52.7
1954,40
1955,83.5
1956,69
1957,81
1958,60.5
1959,94.4
1960,58.5
1961,65.5
1962,54
1963,85
1964,69
1965,46.4
1966,56
1967,106.5
1968,104.9
1969,100
1970,47.2
1971,70.1
1972,32
1973,64
1974,65
1975,51
1976,65
1977,89
1978,84
1979,73
1980,64
1981,87
1982,54.2
1983,134
1984,56
1985,98
1986,75
1987,47
1988,114.8
1989,84
1990,52
1991,54
1992,111
1993,63
1994,85
1995,78
1996,51.8
1997,43.9
1998,38.2
1999,48
2000,99.4
2001,118
2002,82
2003,53
2004,50.5
2005,107
2006,58.9
2007,63.6
2008,56
2009,52.8
2010,45.4
2011,54.8
2012,74
2013,81
2014,42
2015,55
2016,58
2017,75
2018,58
2019,58
2020,127
