UF,CE
Cidade,JUCAS
Nome Posto,JUCAS
Latitude,-6.516666666666667
Longitude,-39.516666666666666
Codigo,639002
Qtd. Anos,65
Ano,Maxima
1912,67.2
1913,61
1914,56
1915,53.6
1916,66.7
1917,67.2
1918,65
1919,46
1920,65
1921,74
1922,68.3
1923,72
1924,66
1925,66.4
1926,66
1927,63
1928,50
1929,96
1930,68
1931,53
1932,56
1933,74
1978,120
1979,80
1980,100
1981,80
1982,115
1983,159.9
1984,92.2
1985,103
1986,65
1987,85
1988,96
1989,85
1990,61
1991,100
1992,83
1993,66
1994,70
1995,62.5
1996,66
1997,115
1998,45.4
1999,46
2000,105
2001,97
2002,44
2003,86
2004,122
2005,49
2006,135
2007,55
2008,101
2009,90
2010,105
2011,143
2012,70
2013,71
2014,100
2015,65
2016,39
2017,87
2018,58
2019,69
2020,95
