UF,CE
Cidade,SANTANA DO ACARAU
Nome Posto,SANTANA DO ACARAU
Latitude,-3.466666666666667
Longitude,-40.2
Codigo,340038
Qtd. Anos,62
Ano,Maxima
1912,60.2
1913,60.8
1914,59.6
1915,53.9
1916,66.7
1917,63.1
1918,45.2
1919,86.3
1920,65.1
1921,68.4
1922,41
1923,43.1
1924,66.7
1925,60.4
1930,66.8
1974,114
1975,60.3
1976,53
1977,72
1978,132
1979,68
1980,75
1981,71
1982,42
1983,78
1984,58
1985,153.4
1986,111.2
1987,103
1988,80
1989,65.6
1990,93.4
1991,68
1992,69
1993,55
1994,60
1995,68
1996,135
1997,103
1998,30
1999,59
2000,75
2001,55
2002,68
2003,109
2004,130
2005,75
2006,76.4
2007,49
2008,76
2009,142
2010,40
2011,60
2012,26
2013,54
2014,38
2015,55.4
2016,46.3
2017,97.2
2018,97
2019,94.6
2020,40.6
