UF,CE
Cidade,ACOPIARA
Nome Posto,ACOPIARA
Latitude,-6.116666666666666
Longitude,-39.45
Codigo,639021
Qtd. Anos,80
Ano,Maxima
1919,38.2
1920,64.9
1921,66
1922,70.4
1923,64
1924,80.1
1941,32
1948,72
1949,68
1950,58
1951,50
1952,40
1953,34
1954,60
1955,75
1956,65
1957,65
1958,90
1959,55
1960,65
1961,66
1962,54
1963,72
1964,90
1965,115
1966,110.3
1967,84.1
1968,84
1969,90
1970,105
1971,43.1
1972,55.1
1973,64
1974,85
1975,69
1976,77
1977,84
1978,109
1979,82
1980,87
1981,66
1982,82
1983,87
1984,40
1985,153
1986,60
1987,33
1988,76
1989,95
1990,67
1991,83
1992,52
1993,58
1994,70
1995,60
1996,67
1997,100
1998,93
1999,67
2000,54
2001,65
2002,89
2003,55
2004,140
2005,65
2006,78
2007,84
2008,63
2009,58.3
2010,94
2011,66
2012,58
2013,92
2014,150
2015,80
2016,74
2017,58
2018,65
2019,83
2020,63
