UF,CE
Cidade,CANINDE
Nome Posto,ACUDE SALAO
Latitude,-4.416666666666667
Longitude,-39.31666666666667
Codigo,439015
Qtd. Anos,75
Ano,Maxima
1916,41.5
1917,74.5
1918,44.3
1919,27
1920,66.5
1921,60.4
1922,66
1923,46
1924,100.8
1925,66
1926,69.1
1927,50.5
1928,9.2
1929,68.7
1930,37.5
1931,70.7
1932,62.3
1933,45
1934,56
1935,41
1936,46
1937,129.5
1938,107.2
1939,76.2
1940,51.3
1941,72.2
1942,36
1943,40
1944,83
1946,119
1948,32.2
1949,47.7
1950,75
1951,52
1952,35
1953,42.3
1954,32.5
1955,25
1956,66
1957,79
1958,20
1959,73
1960,52
1961,80
1962,55.8
1963,79.3
1964,118.8
1965,64.5
1966,68
1967,79
1968,90.3
1969,54
1970,40.3
1971,71.4
1972,32
1973,52.6
1974,76
1975,36.6
1976,26.6
1977,90.5
1978,113.2
1979,38.8
1980,52
1981,59
1982,81.8
1983,35.4
1984,45.8
1985,89.6
1986,58.6
1987,70
1988,74.4
1991,41
1992,25
1993,25.4
1994,43
