UF,CE
Cidade,SAO GONCALO DO AMARANTE
Nome Posto,SAO GONCALO DO AMARANTE
Latitude,-3.5799999999999996
Longitude,-38.980000000000004
Codigo,338008
Qtd. Anos,90
Ano,Maxima
1927,79.1
1928,72.9
1929,65.2
1930,64.4
1931,60.1
1932,96
1933,94.6
1934,130
1935,127
1936,32.2
1937,43.8
1938,76
1939,98
1940,59
1941,76
1942,42.5
1943,119.8
1944,60
1946,72.5
1947,72.8
1948,62.5
1949,126.8
1950,96.4
1951,39
1952,162.5
1953,82
1954,80
1955,74.9
1956,64
1957,93.4
1958,53
1959,155.7
1960,140.5
1961,57.6
1962,65
1963,78
1964,88.6
1965,104
1966,57.8
1967,115
1968,71.2
1969,63
1970,86.6
1971,95
1972,48
1973,120
1974,118
1975,59.6
1976,79
1977,80.2
1978,52.2
1979,51.2
1980,69.8
1981,73
1982,71.4
1983,56.2
1984,67
1985,88
1986,165
1987,80.8
1988,68.4
1989,80
1990,53.4
1991,62.4
1992,78
1993,62
1994,137
1995,89.2
1996,93.6
1997,67.6
1998,39
1999,60
2000,53
2001,93
2002,92
2003,167
2004,96
2005,141
2006,95
2007,123
2008,61.4
2009,100
2010,80
2011,60.2
2012,59
2013,63
2014,56
2018,77.8
2019,87.6
2020,85
