UF,CE
Cidade,CATARINA
Nome Posto,CATARINA
Latitude,-6.133333333333334
Longitude,-39.86666666666667
Codigo,639013
Qtd. Anos,88
Ano,Maxima
1932,101.9
1933,105.6
1934,70
1935,49.3
1936,64
1937,31
1938,57
1939,68
1940,72.1
1941,75.3
1942,76
1943,66
1944,60.2
1946,55.4
1947,70
1948,73.8
1949,45
1950,35.2
1951,70.7
1952,65.2
1953,50.2
1954,56
1955,35.2
1956,60.2
1957,60.4
1958,71.2
1959,46
1960,77
1961,68
1962,82
1963,48
1964,61
1965,43.2
1966,119.5
1967,111.4
1968,66.3
1969,70.6
1970,68
1971,52.1
1972,69
1973,44.6
1974,115.1
1975,50.4
1976,60.7
1977,160
1978,118
1979,98.1
1980,92
1981,53.5
1982,66
1983,65.1
1984,59
1985,120
1986,44.4
1987,55
1988,97
1989,103
1990,92
1991,44
1992,60
1993,95
1994,108
1995,80
1996,80
1997,70
1998,50
1999,60
2000,51
2001,85
2002,128.5
2003,73.5
2004,63.5
2005,70
2006,59.5
2007,33
2008,67
2009,54.5
2010,69
2011,90
2012,54
2013,90
2014,56
2015,60
2016,31
2017,111
2018,53
2019,80
2020,77
