UF,CE
Cidade,POTENGI
Nome Posto,POTENGI
Latitude,-7.1
Longitude,-40.016666666666666
Codigo,740009
Qtd. Anos,83
Ano,Maxima
1936,63
1937,46.4
1938,68.5
1939,55.4
1940,70.2
1941,55.1
1942,90
1943,62
1944,52
1946,60
1947,88
1948,65
1949,12
1950,55
1951,46
1952,36
1953,38
1954,102
1955,65
1956,92
1957,45
1958,40
1959,36
1960,116
1962,80
1963,75
1964,75.5
1965,77.4
1966,71
1967,45.2
1968,105.3
1969,105.3
1970,51.7
1971,103.6
1972,69.1
1973,54.5
1974,90.1
1975,61.2
1976,54
1977,52.3
1978,82.3
1979,52.6
1980,92.1
1981,96
1982,54
1983,47.2
1984,50
1985,105
1986,61.1
1987,38
1988,56.5
1989,67.6
1990,46
1991,110
1992,107
1993,59
1994,49.2
1995,86
1996,74.8
1997,99.1
1998,92
1999,117
2000,71
2001,42
2002,69
2003,60
2004,93
2005,68
2006,55
2007,58
2008,78.5
2009,86
2010,140
2011,77
2012,66
2013,63
2014,70
2015,95
2016,63
2017,70
2018,75
2019,72
2020,106
