UF,CE
Cidade,CAUCAIA
Nome Posto,CAUCAIA
Latitude,-3.75
Longitude,-38.68333333333333
Codigo,338009
Qtd. Anos,108
Ano,Maxima
1912,92
1913,115.3
1914,142.5
1915,62.1
1916,66.1
1917,183.8
1918,92.5
1919,94.4
1920,118.3
1921,75.2
1922,78.5
1923,105
1924,69.5
1925,59
1926,68
1927,103
1928,73.2
1929,54
1930,67.2
1931,71.5
1932,70.5
1933,55.3
1934,90.9
1935,75
1936,51.2
1937,111.2
1938,90
1939,104
1940,62.4
1941,85
1942,53.7
1943,81.4
1944,67.6
1946,86.4
1947,97.6
1948,113
1949,174
1950,73.2
1951,66
1952,89
1953,81
1954,124
1955,92
1956,60
1957,128
1958,40
1959,152
1960,106
1961,149
1962,78.1
1963,129
1964,126
1965,107.4
1966,114
1967,100
1968,96.4
1969,58
1970,154.5
1971,145.6
1972,73.2
1973,117
1974,125
1975,64
1976,82
1977,94
1978,126
1979,70
1980,70
1981,104
1982,58
1983,72.2
1984,77
1985,92.4
1986,115.8
1987,78
1988,89.4
1989,58.6
1990,41.8
1991,76.2
1992,48
1993,63
1994,94
1995,154
1996,114
1997,93.4
1998,57.2
1999,66
2000,87
2001,141
2002,95.6
2003,105
2004,137.6
2005,55
2006,117
2007,128
2008,68.2
2009,86
2010,60
2011,117
2012,130
2013,49.4
2014,73.4
2015,135.2
2016,110.9
2017,102.4
2018,91.2
2019,109.6
2020,85.8
