UF,CE
Cidade,LAVRAS DA MANGABEIRA
Nome Posto,ARROJADO
Latitude,-6.666666666666667
Longitude,-39.016666666666666
Codigo,639024
Qtd. Anos,80
Ano,Maxima
1925,144.9
1926,54.1
1927,91.2
1928,50
1929,18.6
1930,63.5
1931,53
1935,6.4
1937,112.7
1938,96
1939,85.9
1940,100.2
1941,84.5
1942,90
1943,61.3
1944,76.4
1945,70
1946,63.4
1948,109.4
1949,96.6
1950,81.5
1951,83.6
1952,67.2
1953,39.6
1954,70.3
1955,88.1
1956,90.7
1957,80
1958,86.2
1959,93.1
1960,89.9
1961,64.3
1962,71.5
1963,134.3
1964,125.6
1965,85.4
1966,64.3
1967,82.1
1968,96.2
1969,145.3
1970,155.2
1971,99.1
1972,64.4
1973,103.3
1974,78.4
1975,88.4
1976,54.4
1977,60.5
1978,88.8
1979,50.2
1980,82.1
1981,87.9
1982,101.2
1983,99.3
1984,61.2
1985,79.1
1986,62.3
1987,90.1
1988,46
1989,83
1990,13.6
1998,25
1999,94
2000,77
2001,20
2005,65
2006,144
2007,66
2009,108
2010,58
2011,77
2012,72
2013,56
2014,77
2015,49.2
2016,54
2017,69
2018,80
2019,123
2020,140
