UF,CE
Cidade,JAGUARUANA
Nome Posto,JAGUARUANA
Latitude,-4.833333333333333
Longitude,-37.78333333333333
Codigo,437006
Qtd. Anos,109
Ano,Maxima
1912,51.2
1913,46
1914,79
1915,36.4
1916,69.5
1917,105.3
1918,58.5
1919,58.2
1920,80
1921,66
1922,67.2
1923,48.6
1924,74.5
1925,51
1926,63
1927,68
1928,68
1929,76.3
1930,36
1931,65.5
1932,27
1933,56
1934,58.5
1935,53
1936,82
1937,89.6
1938,78
1939,203
1940,37.5
1941,23
1942,27.5
1943,43.1
1944,79.3
1945,112.3
1946,80
1947,71.5
1948,68
1949,78
1950,70
1951,71
1952,32.5
1953,31.5
1954,39.1
1955,157.3
1956,49.2
1957,81
1958,35
1959,70
1960,76
1961,88
1962,116
1963,89
1964,106.2
1965,76.5
1966,125.2
1967,144
1968,146.3
1969,119
1970,56.5
1971,57.4
1972,107.5
1973,59.4
1974,102
1975,93.8
1976,102.6
1977,118
1978,55
1979,79.4
1980,80.8
1981,52.5
1982,167
1983,52.2
1984,123
1985,109.6
1986,63
1987,78.6
1988,157.4
1989,73
1990,64.6
1991,60.2
1992,74.4
1993,34
1994,56.8
1995,110.3
1996,59
1997,27.5
1998,52.2
1999,52
2000,87
2001,54
2002,63.2
2003,78.5
2004,84
2005,76.5
2006,65.3
2007,81
2008,81
2009,121.8
2010,38.5
2011,97
2012,98
2013,59
2014,75
2015,52
2016,50
2017,73.6
2018,56
2019,69
2020,51.6
