UF,CE
Cidade,LIMOEIRO DO NORTE
Nome Posto,LIMOEIRO DO NORTE
Latitude,-5.133333333333334
Longitude,-38.1
Codigo,538009
Qtd. Anos,105
Ano,Maxima
1912,49
1913,62
1914,62.4
1915,26.2
1916,33.7
1917,110.3
1918,46.2
1919,15.4
1920,66.1
1921,74.2
1922,80.2
1923,127
1924,105
1925,41.2
1926,62.9
1927,62.2
1928,97.2
1929,80.6
1930,35
1931,50
1932,40
1933,52.2
1934,65
1935,41.5
1939,46.2
1940,112.2
1941,64.5
1942,50.3
1943,55.2
1944,58.4
1945,61
1946,68.5
1947,55.2
1948,87.5
1949,68.5
1950,73.3
1951,70.4
1952,63.2
1953,42.5
1954,55
1955,82.5
1956,52
1957,80
1959,67
1960,89
1961,70.8
1962,87.9
1963,82.8
1964,75.2
1965,65.7
1966,63.2
1967,75.2
1968,87.1
1969,69.2
1970,66
1971,56.5
1972,126.3
1973,92
1974,71.8
1975,61
1976,46.8
1977,144
1978,72
1979,123
1980,120
1981,86
1982,67.6
1983,60.5
1984,114
1985,60
1986,106
1987,100
1988,59
1989,64.8
1990,65.5
1991,47.8
1992,82.6
1993,53.2
1994,57.3
1995,52.7
1996,79.8
1997,47.2
1998,67.1
1999,66.5
2000,90.4
2001,58.4
2002,60
2003,78.5
2004,128
2005,43.6
2006,57.8
2007,46.2
2008,53
2009,137
2010,71
2011,59
2012,135
2013,73.3
2014,77.8
2015,29
2016,30.8
2017,44.8
2018,49
2019,80
2020,100
