UF,CE
Cidade,QUIXADA
Nome Posto,FAZENDA FEIJAO
Latitude,-4.566666666666666
Longitude,-39.166666666666664
Codigo,439024
Qtd. Anos,56
Ano,Maxima
1917,55.5
1918,66.5
1919,51.2
1920,98
1921,71.5
1922,73.3
1923,29
1924,111.5
1925,65
1926,68.5
1927,35
1928,65.2
1929,41
1930,60
1931,40.5
1932,54.6
1933,53.6
1934,62.9
1935,50.1
1936,18
1937,51.8
1938,33
1941,5.7
1943,20.8
1944,12.6
1946,57.6
1962,53
1963,64
1964,67.2
1965,39.2
1966,38.6
1967,68.2
1968,60.8
1969,75.6
1970,53.1
1971,58.3
1972,60
1973,84
1974,66.8
1975,39
1976,36.7
1977,37.8
1978,74
1979,50.6
1980,101.5
1981,84
1982,140
1983,78
1984,33
1985,63.3
1986,100.7
1987,69.8
1988,65
1989,60.3
1990,52
1991,48.4
