UF,CE
Cidade,PARAMOTI
Nome Posto,PARAMOTI
Latitude,-4.083333333333333
Longitude,-39.25
Codigo,439003
Qtd. Anos,86
Ano,Maxima
1935,66
1936,30
1937,33.9
1938,63
1939,79.5
1940,60
1941,36.8
1942,23
1943,51
1944,127
1945,61
1946,67
1947,71
1948,58
1949,70.2
1950,45
1951,49.5
1952,76
1953,37
1954,92.8
1955,57
1956,42
1957,41
1958,12
1959,56.5
1960,75.3
1961,76
1962,38
1963,110
1964,119.3
1965,48.4
1966,27.3
1967,77.4
1968,99.4
1969,51.1
1970,32.2
1971,73.2
1972,40.3
1973,77.2
1974,112
1975,48
1976,50.5
1977,77
1978,87.2
1979,77.2
1980,67
1981,91
1982,51
1983,50
1984,51
1985,76
1986,64
1987,59
1988,110
1989,73
1990,93.6
1991,45
1992,106
1993,43
1994,58
1995,69
1996,63
1997,85
1998,36
1999,59
2000,70
2001,93.2
2002,62.1
2003,43.4
2004,66
2005,36.3
2006,48.1
2007,27.4
2008,50
2009,51
2010,68.6
2011,107
2012,29
2013,55.4
2014,72
2015,197.8
2016,52
2017,89.5
2018,51
2019,75
2020,119.8
