UF,CE
Cidade,SANTANA DO ACARAU
Nome Posto,SAO VICENTE
Latitude,-3.4
Longitude,-40.266666666666666
Codigo,340010
Qtd. Anos,58
Ano,Maxima
1920,33.7
1921,50
1922,36.4
1923,80
1924,63.3
1925,64
1926,90
1927,38
1932,24.5
1933,60.7
1934,64.2
1935,48.3
1936,42.4
1937,42.4
1938,40
1939,63
1940,59
1941,36.3
1948,36
1949,65
1950,83
1951,48
1952,40
1953,36.5
1954,42
1955,66
1956,72.6
1957,36.2
1958,25.4
1959,55.2
1960,90
1961,42.1
1962,77.5
1963,81
1964,79.6
1965,88.3
1966,78.2
1967,75.3
1968,100.5
1969,62
1970,70
1971,83.6
1972,52.4
1973,55.2
1974,107.2
1975,79.4
1976,45
1977,70
1978,112.4
1979,53.4
1980,66.9
1981,86
1982,77
1983,56
1984,56.4
1985,55
1986,97
1987,80
