UF,CE
Cidade,MASSAPE
Nome Posto,MASSAPE
Latitude,-3.533333333333333
Longitude,-40.333333333333336
Codigo,340049
Qtd. Anos,89
Ano,Maxima
1912,40.5
1913,66.7
1914,60
1915,37.6
1916,82
1917,61.7
1918,72.5
1919,36.2
1920,78
1921,66.7
1922,63.7
1923,62
1924,71.5
1925,25
1926,85
1927,82
1928,56.6
1929,45
1930,104
1932,66
1941,6.6
1942,48.6
1943,86.8
1944,52
1945,71.3
1946,54.8
1947,55.5
1948,53
1949,64.1
1950,53.3
1951,62.4
1952,41.1
1953,25.2
1954,44.2
1955,60.6
1956,32.7
1957,41.3
1958,39.6
1959,40.2
1960,56.5
1961,80.9
1962,5.6
1974,155
1975,44.2
1976,95.4
1977,45
1978,160
1979,83.5
1980,45
1981,99.5
1982,97.7
1983,33
1984,63.4
1985,100
1986,145
1987,110
1988,93.6
1989,89
1990,82
1991,50
1992,74.6
1993,78.2
1994,74.2
1995,81.6
1996,96.6
1997,51.6
1998,68
1999,60
2000,59.8
2001,62.5
2002,50.6
2003,56
2004,70
2005,43.2
2006,97.3
2007,70.2
2008,73.8
2009,59.6
2010,41.3
2011,80.5
2012,35.5
2013,70.2
2014,39
2015,85.7
2016,50
2017,90.8
2018,69.2
2019,91.5
2020,99
