UF,CE
Cidade,GRANJA
Nome Posto,GRANJA
Latitude,-3.1333333333333333
Longitude,-40.833333333333336
Codigo,340017
Qtd. Anos,47
Ano,Maxima
1974,125
1975,64
1976,104
1977,63
1978,107.6
1979,136
1980,72
1981,125.4
1982,64.1
1983,68
1984,81
1985,135
1986,75
1987,75.2
1988,113.2
1989,61
1990,75.4
1991,48.4
1992,63.7
1993,60.5
1994,77
1995,135
1996,112.5
1997,81
1998,68
1999,73.2
2000,85
2001,54
2002,61
2003,100
2004,81.4
2005,50
2006,95
2007,85
2008,85
2009,89.4
2010,55
2011,96
2012,95.2
2013,40.2
2014,45
2015,84
2016,116.7
2017,87
2018,100
2019,119
2020,100
