UF,CE
Cidade,PEDRA BRANCA
Nome Posto,PEDRA BRANCA
Latitude,-5.45
Longitude,-39.71666666666667
Codigo,539033
Qtd. Anos,47
Ano,Maxima
1974,75
1975,82.8
1976,75
1977,100
1978,113
1979,55
1980,73
1981,65
1982,47
1983,83
1984,65
1985,125
1986,86
1987,50
1988,61
1989,71
1990,78
1991,130
1992,53.5
1993,41
1994,61
1995,45
1996,67
1997,70
1998,72.9
1999,50
2000,73
2001,50
2002,61
2003,68
2004,62
2005,139
2006,68
2007,56
2008,59
2009,95
2010,45
2011,69
2012,36.5
2013,70
2014,67
2015,107
2016,36
2017,40
2018,76
2019,86
2020,103.9
