UF,CE
Cidade,VARZEA ALEGRE
Nome Posto,VARZEA ALEGRE
Latitude,-6.8
Longitude,-39.3
Codigo,639034
Qtd. Anos,107
Ano,Maxima
1912,16.3
1913,64.4
1914,114.5
1915,60.1
1916,64.5
1917,85
1918,63.2
1919,46
1920,69.5
1921,63
1922,57
1923,60.8
1924,80.7
1925,61.7
1926,80.7
1927,60.4
1928,94.7
1929,59
1930,82.2
1931,79.2
1932,46.2
1933,68.6
1934,68
1935,88
1936,81.3
1937,79
1938,72.2
1939,87.8
1940,78
1941,60.7
1942,130.2
1943,51
1944,128
1946,118.5
1948,4.3
1949,76.5
1950,95.6
1951,105.2
1952,70
1953,48.4
1954,54
1955,103.5
1956,90
1957,72
1958,80.5
1959,78
1960,127
1961,76
1962,75.3
1963,132
1964,67.6
1965,95
1966,174.5
1967,89.8
1968,101.3
1969,45.1
1970,85.1
1971,113.2
1972,133
1973,120
1974,95.8
1975,114
1976,152.2
1977,78
1978,94
1979,109.8
1980,76
1981,84.5
1982,99
1983,96
1984,105
1985,74
1986,75
1987,57
1988,110
1989,123
1990,67
1991,82
1992,71
1993,56
1994,75
1995,84.2
1996,70.4
1997,67.4
1998,78.5
1999,95.4
2000,137.8
2001,40.6
2002,48.8
2003,107.1
2004,96.6
2005,63
2006,147
2007,73.5
2008,120
2009,69
2010,77
2011,91
2012,59.6
2013,67
2014,61.6
2015,48.2
2016,115.6
2017,67
2018,105.6
2019,112.6
2020,77
