UF,CE
Cidade,CATUNDA
Nome Posto,CATUNDA
Latitude,-4.666666666666667
Longitude,-40.2
Codigo,440009
Qtd. Anos,59
Ano,Maxima
1962,37.8
1963,74
1964,80.4
1965,78
1966,45
1967,122
1968,62.3
1969,31.3
1970,77.5
1971,52.5
1972,67.2
1973,92.2
1974,19.2
1975,83.3
1976,126.2
1977,63.2
1978,108.7
1979,52
1980,62.5
1981,63.5
1982,69.1
1983,28.8
1984,53
1985,113
1986,60.2
1987,46.5
1988,51.2
1989,101
1990,51.2
1991,108.2
1992,46.8
1993,22.2
1994,76
1995,58.2
1996,96
1997,58
1998,115
1999,80
2000,80
2001,70
2002,74
2003,77
2004,80
2005,104
2006,61
2007,59
2008,58
2009,168
2010,71
2011,57
2012,24
2013,104
2014,37
2015,78
2016,52
2017,66
2018,65
2019,63
2020,106
