UF,CE
Cidade,CEDRO
Nome Posto,VARZEA DA CONCEICAO
Latitude,-6.466666666666667
Longitude,-39.11666666666667
Codigo,639018
Qtd. Anos,84
Ano,Maxima
1928,180
1929,65.7
1930,22
1931,45
1934,72.6
1935,55.7
1937,111.4
1938,43
1939,90.3
1940,95
1941,116
1942,105
1943,63.5
1944,48
1946,80
1947,97.3
1948,73.4
1949,125
1950,90.3
1951,65.1
1952,60.1
1953,80.2
1954,65.5
1955,75.2
1956,95.2
1957,130.3
1958,130.5
1959,60.5
1960,90.5
1961,80.2
1962,85.3
1963,72.3
1964,100.2
1965,55.4
1966,95.4
1967,85.4
1968,94.6
1969,76.4
1970,125.4
1971,70.3
1972,120.5
1973,195.3
1974,91.4
1975,107.5
1976,53.4
1977,82.4
1978,97.5
1979,59.3
1980,120.3
1981,105.6
1982,92.5
1983,65.4
1984,61.4
1985,105.3
1986,62.4
1987,100.6
1988,126.5
1989,134.8
1990,78.4
1991,85
1992,60
1998,55
1999,65
2000,141
2001,60
2002,73
2003,60
2004,117
2005,75
2006,80
2007,91
2008,98
2009,150
2010,141
2011,112
2012,67
2013,90
2014,86
2015,50
2016,83
2017,120
2018,150
2019,53
2020,119
