UF,CE
Cidade,OROS
Nome Posto,ACUDE OROS
Latitude,-6.266666666666667
Longitude,-38.916666666666664
Codigo,638005
Qtd. Anos,76
Ano,Maxima
1921,102.6
1922,66.5
1923,37.2
1924,71.6
1926,68
1927,67
1928,62.5
1929,70
1930,66
1937,2.7
1941,23.6
1944,87.3
1945,67.1
1946,75.5
1947,85.6
1948,49
1949,39.8
1950,63.3
1951,74.7
1952,102.5
1953,58
1954,98.8
1955,92
1956,69.3
1957,64.5
1958,70
1959,57
1960,65
1961,135.5
1962,82.2
1963,94.9
1964,108.1
1965,62.3
1966,79.6
1967,114.4
1968,118.3
1969,90.5
1970,47.8
1971,62.4
1972,104.8
1973,57.9
1974,57
1975,59.6
1976,70.8
1977,67.6
1978,103.2
1979,70.4
1980,105
1981,109
1982,95
1983,55.2
1984,47
1985,108.2
1986,58.3
1987,93.6
1988,67.9
1989,53.6
1990,13
1991,67.7
1992,59.2
1998,80.8
1999,88.4
2000,60.3
2003,41
2008,2
2009,55.2
2010,116.4
2011,94.4
2012,82
2013,75.8
2014,54
2015,62.2
2016,52.8
2017,39.2
2018,67.6
2019,42.2
