UF,CE
Cidade,CRATEUS
Nome Posto,AEROPORTO(CRATEUS)
Latitude,-5.210833333333333
Longitude,-40.703611111111115
Codigo,540020
Qtd. Anos,110
Ano,Maxima
1910,36
1911,47
1912,35
1913,65.2
1914,80.7
1915,65.5
1916,64.6
1917,62
1918,59.5
1919,63.3
1920,76.6
1921,57.2
1922,72
1923,51.1
1924,66.6
1925,65.2
1926,66.5
1927,60.5
1928,62.5
1929,71
1930,69.2
1931,42
1932,48.2
1933,50.2
1934,54.8
1935,68
1936,60.4
1937,57.5
1938,77.5
1939,71.7
1940,78.3
1941,150.7
1942,30.5
1943,43
1944,78
1945,72
1946,54.6
1948,71.6
1949,130
1950,105
1951,43.2
1952,47
1953,40.5
1954,44.3
1955,78.5
1956,92
1957,54
1958,55.5
1959,98.4
1960,111.6
1961,98.2
1962,77.2
1963,92.5
1964,77.4
1965,74.6
1966,71.8
1967,140.2
1968,89.1
1969,49.4
1970,96.6
1971,113.1
1972,52.9
1973,81.7
1974,87.1
1975,70.2
1976,55.1
1977,95.8
1978,55.5
1979,89.7
1980,65.8
1981,67.9
1982,37.3
1983,24.8
1984,69.2
1985,65.6
1986,97
1987,93
1988,83
1989,97
1990,41.4
1991,29
1992,53
1993,28
1994,42
1995,68
1996,102
1997,125
1998,34
1999,104
2000,75
2001,66
2002,27.2
2003,152.8
2004,110
2005,133.6
2006,75.8
2007,95.6
2008,90
2009,100
2010,34
2011,74
2012,34
2013,82.2
2014,67
2015,47
2016,61
2017,52
2018,74
2019,62
2020,141
