UF,CE
Cidade,ARACATI
Nome Posto,ARACATI
Latitude,-4.566666666666666
Longitude,-37.766666666666666
Codigo,437000
Qtd. Anos,93
Ano,Maxima
1912,15
1913,84
1914,56.5
1915,32
1916,68
1917,122.1
1918,114
1919,36.5
1920,68.5
1921,95.1
1922,66.4
1923,57
1924,71.3
1925,70
1926,75
1927,35.8
1928,88
1929,97
1930,52.7
1941,33.6
1948,65.6
1949,68.5
1950,132.2
1951,102.2
1952,78
1953,60
1954,55
1955,69
1956,88.1
1957,73.2
1958,27.2
1959,118.5
1960,102.8
1961,105.3
1962,89.9
1963,114
1964,180
1965,98
1966,77.5
1967,106.6
1968,72
1969,61.8
1970,96.3
1971,88.2
1972,122.4
1973,131.3
1974,75.3
1975,55.2
1976,121
1977,85
1978,95.2
1979,60.2
1980,103.2
1981,110
1982,70.2
1983,57
1984,98.4
1985,216.4
1986,120.4
1987,59.2
1988,126
1989,70
1990,70.4
1991,61
1992,88
1993,28.2
1994,102.6
1995,56.8
1996,61.3
1997,47
1998,40.2
1999,84.2
2000,42
2001,77.4
2002,77.2
2003,81
2004,64.4
2005,50
2006,101
2007,117.6
2008,200.6
2009,115.6
2010,59.8
2011,76.2
2012,59.2
2013,140
2014,80.4
2015,72.8
2016,66
2017,102
2018,116.6
2019,121
2020,88.4
