UF,PR
Cidade,MORRETES
Nome Posto,SAO JOAO DA GRACIOSA
Latitude,-25.383055555555558
Longitude,-48.86666666666667
Codigo,2548047
Qtd. Anos,43
Ano,Maxima
1974,68.3
1975,90.4
1976,148.6
1977,99.4
1978,94.5
1979,98.3
1980,149
1981,124.3
1982,95.4
1983,121.3
1984,79.2
1985,83.7
1986,75.7
1987,119.8
1988,220.4
1989,208.2
1990,99.7
1991,231.3
1992,103
1993,120
1994,93.1
1995,124
1996,123.8
1997,83.2
1998,105.7
1999,105
2000,80.2
2001,100.4
2002,89
2003,82.6
2004,199.1
2005,74.5
2006,80.9
2007,98.8
2008,98
2009,72.8
2010,150.2
2011,111.8
2012,118.4
2013,88.7
2014,78
2015,83.6
2017,99.3
