UF,PR
Cidade,CHOPINZINHO
Nome Posto,SAO LUIZ DO OESTE
Latitude,-25.7275
Longitude,-52.50277777777778
Codigo,2552033
Qtd. Anos,41
Ano,Maxima
1976,100.2
1977,89.4
1978,93.3
1979,95.8
1980,88.4
1981,100
1982,125.2
1983,175.6
1984,207.8
1985,71.9
1986,80
1987,90
1988,65.3
1989,95.4
1990,141.2
1991,115.7
1992,152
1993,165
1994,96.4
1995,137.1
1996,97.5
1997,145.4
1998,103.5
1999,91.7
2000,84
2001,74.5
2002,108.4
2003,126.5
2004,76.5
2005,102
2006,72
2007,97
2008,63.5
2009,102
2010,72.8
2011,132.1
2012,106.7
2013,147
2014,200.1
2015,90.4
2017,104.7
