UF,PR
Cidade,SANTO ANTONIO DO SUDOESTE
Nome Posto,MARCIANOPOLIS
Latitude,-26.116666666666667
Longitude,-53.65
Codigo,2653014
Qtd. Anos,41
Ano,Maxima
1976,95
1977,83
1978,61.4
1979,66
1980,52.2
1981,52.8
1982,111.6
1983,185.2
1984,117.2
1985,75.8
1986,75
1987,138
1988,75
1989,100.4
1990,140.8
1991,80.6
1992,78.2
1993,93.5
1994,70.7
1995,86.1
1996,118.7
1997,207
1998,127.1
1999,63.2
2000,92.6
2001,89.2
2002,109.4
2003,140.2
2004,82
2005,100
2006,98.4
2007,86.3
2008,68.4
2009,82.6
2010,126.4
2011,148.2
2012,113
2013,135.6
2014,186.3
2015,150.1
2017,96.2
