UF,PR
Cidade,RONDON
Nome Posto,PORTO PARAISO DO NORTE
Latitude,-23.324166666666667
Longitude,-52.66694444444444
Codigo,2352000
Qtd. Anos,64
Ano,Maxima
1953,70.6
1954,89
1955,91
1956,75.6
1957,77.2
1958,89
1959,93
1960,89.2
1961,94
1962,70.6
1963,74.6
1964,92
1965,68
1966,37
1967,68.2
1968,50
1969,68
1970,68.9
1971,72
1972,120.2
1973,56.8
1974,93.4
1975,70.6
1976,120
1977,55.2
1978,54.4
1979,126
1980,75
1981,67.8
1982,67
1983,82
1984,85
1985,69
1986,64.4
1987,70.9
1988,88.6
1989,66.8
1990,54.3
1991,107.1
1992,70.5
1993,61.8
1994,150
1995,73.1
1996,54.6
1997,129.2
1998,89
1999,80.4
2000,111.2
2001,59.6
2002,72.2
2003,69
2004,63.4
2005,85.8
2006,147.2
2007,88.8
2008,66
2009,86
2010,103
2011,85.7
2012,141.4
2013,79
2014,140.4
2015,126.4
2017,105.4
