UF,PR
Cidade,BANDEIRANTES
Nome Posto,BANDEIRANTES (FAC. AGRONOMIA)
Latitude,-23.1
Longitude,-50.35
Codigo,2350018
Qtd. Anos,44
Ano,Maxima
1974,47.4
1975,141.7
1976,87.4
1977,135
1978,59.8
1979,102.6
1980,101
1981,90
1982,81.6
1983,136.4
1984,80.4
1985,78
1986,78.6
1987,95.5
1988,96.3
1989,127
1990,73.3
1991,114
1992,157.7
1993,97
1994,122.6
1995,89.4
1996,144
1997,108.4
1998,55.5
1999,107.5
2000,114.1
2001,69
2002,71.2
2003,125
2004,109.4
2005,60.6
2006,87.7
2007,65.5
2008,71.7
2009,92.8
2010,78.2
2011,144
2012,210.2
2013,126.9
2014,142.5
2015,67.7
2016,98.1
2017,101.2
