UF,PR
Cidade,IBAITI
Nome Posto,PATRIMONIO DO CAFE
Latitude,-23.888333333333332
Longitude,-50.18444444444444
Codigo,2350042
Qtd. Anos,42
Ano,Maxima
1975,44.8
1976,73.8
1977,76.1
1978,82.2
1979,95
1980,78.2
1981,105.2
1982,93.2
1983,67.8
1984,86.8
1985,66
1986,79.2
1987,91.2
1988,53.9
1989,76
1990,74.1
1991,80
1992,80
1993,67.7
1994,92
1995,83
1996,52.1
1997,128.2
1998,80.2
1999,92.7
2000,79.9
2001,60.5
2002,100.2
2003,90.1
2004,121.2
2005,78.2
2006,54.6
2007,83.3
2008,67.9
2009,98.2
2010,209
2011,65.1
2012,55.4
2013,66.1
2014,59.8
2015,120.2
2017,64.2
