UF,PR
Cidade,SAPOPEMA
Nome Posto,SAPOPEMA
Latitude,-23.903888888888886
Longitude,-50.57083333333334
Codigo,2350061
Qtd. Anos,42
Ano,Maxima
1975,56.6
1976,85
1977,86
1978,98.6
1979,81.8
1980,77.2
1981,69.3
1982,37.8
1983,76.6
1984,81.2
1985,51.4
1986,75.2
1987,54.4
1988,110.5
1989,150.2
1990,92.7
1991,60.7
1992,172.2
1993,82
1994,56.7
1995,73.8
1996,67.8
1997,97
1998,142.4
1999,94.4
2000,127.2
2001,82
2002,109
2003,104.2
2004,67.2
2005,69.1
2006,67.9
2007,77.1
2008,96.7
2009,127.5
2010,154.5
2011,96.3
2012,83
2013,85
2014,105.5
2015,113
2017,68
