UF,PR
Cidade,CERRO AZUL
Nome Posto,SANTA CRUZ - TIGRE
Latitude,-25.06527777777778
Longitude,-49.12361111111111
Codigo,2549054
Qtd. Anos,43
Ano,Maxima
1974,25.4
1975,65.1
1976,80
1977,60
1978,69
1979,59.9
1980,111.1
1981,33.3
1982,52.6
1983,38.6
1984,48.4
1985,52.4
1986,69
1987,92.4
1988,70
1989,75.2
1990,98.5
1991,45
1992,77
1993,95
1994,60
1995,55.5
1996,50
1997,54
1998,84.1
1999,38.6
2000,69.3
2001,71.2
2002,61.9
2003,61.1
2004,104.3
2005,89.1
2006,49.8
2007,50.5
2008,55.5
2009,49.5
2010,108
2011,62.4
2012,74.2
2013,53.9
2014,84
2015,99.7
2017,63.2
