UF,PR
Cidade,CASCAVEL
Nome Posto,SAO JOAO DO OESTE
Latitude,-24.962777777777777
Longitude,-53.24388888888889
Codigo,2453056
Qtd. Anos,43
Ano,Maxima
1975,74.3
1976,85.8
1977,104
1978,71.2
1979,91.6
1980,106.8
1981,122.1
1982,116.6
1983,143.8
1984,127.4
1985,75.6
1986,115.6
1987,121
1988,58.6
1989,90
1990,98
1991,401.8
1992,134.2
1993,153.8
1994,140.8
1995,71.7
1996,160.2
1997,131
1998,116.2
1999,130
2000,91.5
2001,64.9
2002,152
2003,84
2004,94
2005,89.2
2006,140.3
2007,110.5
2008,106.1
2009,81.1
2010,152.1
2011,127.1
2012,127.1
2013,134
2014,208
2015,105.4
2016,76
2017,60
