UF,PR
Cidade,WENCESLAU BRAZ
Nome Posto,VENCESLAU BRAZ (RVPSC)
Latitude,-23.866666666666667
Longitude,-49.8
Codigo,2349034
Qtd. Anos,44
Ano,Maxima
1939,80
1940,64
1941,70
1942,92
1943,92
1944,90
1945,93
1946,80
1947,101.6
1948,88
1949,154
1950,76
1951,62
1952,68
1953,66.2
1954,127
1955,54
1956,123
1957,72
1958,75
1959,89
1960,81
1961,160
1962,72
1963,116
1964,145
1965,85
1966,112
1967,72
1968,58.3
1969,81.3
1970,90
1971,65
1972,71.3
1973,80
1974,96
1975,59
1976,69
1977,79
1978,87.5
1979,80
1980,80
1981,50
1982,619.1
