UF,PR
Cidade,TIBAGI
Nome Posto,BOM JARDIM MONTANTE
Latitude,-24.67777777777778
Longitude,-50.48444444444444
Codigo,2450009
Qtd. Anos,58
Ano,Maxima
1941,39.6
1942,49.2
1943,48
1944,81
1945,80.6
1946,162
1947,83
1948,99.7
1949,51.6
1950,89.3
1951,56
1952,85.3
1953,83.8
1954,77.8
1955,77.8
1956,62.4
1957,129
1959,84.6
1960,76.6
1961,65.4
1962,41.2
1963,44.5
1964,41.4
1965,46.2
1966,46.5
1967,49.2
1968,46
1969,52
1970,52
1971,46
1972,53
1973,96
1974,64
1975,78
1976,75
1978,75.3
1979,59.4
1980,64.5
1981,81.9
1982,84.8
1983,109.2
1984,67
1985,40.1
1986,77.4
1987,79.7
1988,85.7
1989,77.9
1990,113.1
1991,58
1992,104.5
1993,95.1
1994,72
1995,120.7
1996,99.8
1997,85.8
1998,119.6
1999,64.1
2000,72
