UF,PR
Cidade,SANTA AMELIA
Nome Posto,SANTA AMELIA
Latitude,-23.26638888888889
Longitude,-50.43194444444444
Codigo,2350029
Qtd. Anos,42
Ano,Maxima
1975,85.2
1976,99
1977,77
1978,106.6
1979,56.8
1980,64
1981,95
1982,114
1983,95
1984,76
1985,108.4
1986,111
1987,138.2
1988,58.2
1989,99.3
1990,130
1991,89.6
1992,59
1993,82.4
1994,80.5
1995,60.6
1996,56.4
1997,113.4
1998,85.1
1999,66.3
2000,57.6
2001,59.1
2002,87.3
2003,86.7
2004,86.5
2005,75.3
2006,105.3
2007,97.7
2008,68.4
2009,73.7
2010,56.9
2011,61
2012,196.2
2013,88.8
2014,65.5
2015,106.3
2017,100.9
