UF,PR
Cidade,PORTO VITORIA
Nome Posto,PORTO VITORIA (rio espingarda)
Latitude,-26.166666666666668
Longitude,-51.21666666666667
Codigo,2651004
Qtd. Anos,72
Ano,Maxima
1945,45
1946,143
1947,85.2
1948,86
1949,69.8
1950,56
1951,96
1952,113.4
1953,57.2
1954,88.3
1955,84.3
1956,73.4
1957,105.2
1958,115.2
1959,66.2
1960,108.2
1961,83.4
1962,63.2
1963,68.3
1964,86.3
1965,79.3
1966,70.8
1967,92.7
1968,55.8
1969,106.5
1970,84.8
1971,84.8
1972,78.8
1973,86.9
1974,80.4
1975,96.4
1976,60.6
1977,71.8
1978,62
1979,96
1980,79.4
1981,53.8
1982,102.6
1983,148.8
1984,104.2
1985,62.8
1986,70
1987,224
1988,76.1
1989,68.8
1990,118.7
1991,93.8
1992,125.8
1993,127.5
1994,112.4
1995,75.9
1996,83
1997,95.6
1998,98.5
1999,147
2000,85.9
2001,60
2002,61.8
2003,78
2004,101
2005,90.5
2006,55
2007,90
2008,87
2009,76
2010,73
2011,95
2012,128
2013,116.1
2014,162
2015,86.4
2017,90.8
