UF,PR
Cidade,PRUDENTOPOLIS
Nome Posto,PRUDENTOPOLIS CAPT. SANEPAR
Latitude,-25.237222222222222
Longitude,-50.96083333333333
Codigo,2550000
Qtd. Anos,80
Ano,Maxima
1937,143.2
1938,73.6
1939,70.2
1940,42.1
1941,64.1
1942,62
1943,69.1
1944,75
1945,96
1946,75.3
1947,80
1948,92
1949,53.4
1950,66.1
1951,99
1952,53.1
1953,53.2
1954,90.8
1955,83.6
1956,62.7
1957,100.1
1958,52
1959,82.3
1960,104.1
1961,83.2
1962,75.2
1963,90.3
1964,87.2
1965,85
1966,85.2
1967,71
1968,52.3
1969,59.2
1970,80.4
1971,79
1972,86.2
1973,73.1
1974,48
1975,85.4
1976,82.8
1977,72.3
1978,84.6
1979,76.2
1980,95.6
1981,88.2
1982,77.4
1983,120.4
1984,103.2
1985,72.8
1986,60.2
1987,112.4
1988,85.4
1989,82.6
1990,94.3
1991,109.8
1992,147
1993,122.1
1994,67.8
1995,164.6
1996,75
1997,91.2
1998,63.3
1999,105
2000,130.9
2001,74.2
2002,81.4
2003,82.4
2004,68
2005,86
2006,80
2007,170
2008,143.1
2009,120.6
2010,120.8
2011,116.6
2012,62
2013,137.1
2014,91.2
2015,70.9
2017,91.3
