UF,PR
Cidade,LAPA
Nome Posto,PEDRA ALTA
Latitude,-25.8
Longitude,-49.882777777777775
Codigo,2549059
Qtd. Anos,42
Ano,Maxima
1975,68
1976,62.8
1977,80.4
1978,67.6
1979,97.4
1980,76.2
1981,50
1982,62
1983,104.6
1984,76.9
1985,50.9
1986,100.9
1987,97.7
1988,81.1
1989,65.9
1990,72.5
1991,112.2
1992,156.1
1993,97
1994,56.9
1995,103.2
1996,97.2
1997,98.1
1998,73.7
1999,82.6
2000,68.5
2001,86.6
2002,61.7
2003,71
2004,50.5
2005,104.8
2006,48
2007,79.5
2008,90
2009,70.4
2010,111.8
2011,83.5
2012,84.1
2013,113
2014,215.8
2015,73.5
2017,125.9
