UF,PR
Cidade,CAMPO LARGO
Nome Posto,TRES CORREGOS
Latitude,-25.233333333333334
Longitude,-49.63333333333333
Codigo,2549047
Qtd. Anos,43
Ano,Maxima
1974,60
1975,85
1976,49
1977,47.6
1978,28.1
1979,35.1
1980,90.4
1981,99.4
1982,107.6
1983,115.2
1984,91.5
1985,53.7
1986,50.6
1987,67
1988,80.6
1989,103.8
1990,40.5
1991,110.9
1992,76.2
1993,115.6
1994,73.1
1995,195.2
1996,86.5
1997,69.2
1998,83.9
1999,49.8
2000,66.9
2001,78.6
2002,58.1
2003,73.5
2004,70
2005,59.4
2006,66.5
2007,70.5
2008,65.9
2009,71.8
2010,96.7
2011,85.2
2012,110
2013,103.1
2014,83.7
2015,81.5
2017,59.8
